ACCIONA,112.400,1.26,1.40,-15.68,112.500,111.500,4396,6166,09:12,09:30,18
ACCIONA ENER,19.920,1.53,0.30,-29.06,19.920,19.700,9971,6559,09:10,09:30,18
ACERINOX,10.250,0.20,0.02,-0.74,10.280,10.250,7243,2773,09:14,09:30,18
ACS,37.920,0.32,0.12,-4.49,38.000,37.860,7041,10302,09:15,09:30,18
AENA,172.800,-0.06,-0.10,5.30,174.100,172.300,15666,25920,09:14,09:30,18
AMADEUS IT GROUP,61.000,0.16,0.10,-5.33,61.140,60.580,17405,27480,09:14,09:30,18
ARCELORMITTAL,24.650,1.27,0.31,-3.95,24.650,24.450,37297,21638,09:14,09:30,18
BANCO SABADELL,1.849,-0.59,-0.01,69.70,1.884,1.848,7169387,10059,09:15,09:30,18
BANKINTER,7.538,-0.05,-0.00,32.13,7.580,7.538,179305,6776,09:14,09:30,18
BBVA,9.834,0.51,0.05,23.94,9.930,9.830,722639,57410,09:15,09:30,18
CAIXABANK,4.942,0.14,0.01,44.23,4.975,4.942,370437,37076,09:15,09:30,18
CELLNEX TELECOM,32.020,0.38,0.12,-10.21,32.020,31.690,72936,21752,09:15,09:30,18
COLONIAL,5.640,0.45,0.03,-13.89,5.640,5.610,47510,3043,09:15,09:30,18
ENAGAS,13.790,0.44,0.06,-9.66,13.810,13.750,25957,3613,09:13,09:30,18
ENDESA,17.315,0.20,0.03,-6.20,17.370,17.305,22512,18332,09:13,09:30,18
FERROVIAL,34.200,0.41,0.14,3.57,34.440,34.160,29876,25332,09:11,09:30,18
FLUIDRA,20.080,0.45,0.09,6.53,20.100,20.020,5701,3928,09:10,09:30,18
GRIFOLS,8.772,0.34,0.03,-43.24,8.826,8.718,123591,3738,09:15,09:30,18
IAG,2.082,-0.19,-0.00,16.90,2.095,2.075,769475,10351,09:15,09:30,18
IBERDROLA,11.605,0.26,0.03,-0.57,11.620,11.575,103345,74542,09:15,09:30,18
INDITEX,42.580,0.19,0.08,9.86,42.770,42.510,28831,132707,09:15,09:30,18
INDRA,18.100,0.33,0.06,29.29,18.170,18.040,15176,3197,09:14,09:30,18
LOGISTA,25.720,0.08,0.02,10.54,25.720,25.700,1353,3414,09:11,09:30,18
MAPFRE,2.264,0.09,0.00,16.52,2.270,2.264,122228,6972,09:10,09:30,18
MELIÁ HOTELS,7.420,0.47,0.03,24.50,7.450,7.420,10973,1635,09:01,09:30,18
MERLIN PROP,10.760,-0.09,-0.01,6.96,10.810,10.760,4169,5055,09:13,09:30,18
NATURGY,23.920,0.25,0.06,-9.65,23.960,23.860,12778,23193,09:14,09:30,18
REDEIA,15.960,0.31,0.05,9.02,16.030,15.960,44866,8636,09:14,09:30,18
REPSOL,14.410,0.07,0.01,10.39,14.485,14.400,103320,17543,09:12,09:30,18
ROVI,82.600,0.49,0.40,37.21,82.750,82.500,1779,4462,09:13,09:30,18
SACYR,3.326,0.36,0.01,8.48,3.334,3.324,47858,2314,09:11,09:30,18
